Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
ORD00001,13-04-2023,CUST0072,Customer 0072,West,Mumbai,Accessories,Mouse,2,926.64,0,1853.28,130.57
ORD00002,29-03-2023,CUST0131,Customer 0131,North,Delhi,Clothing,Shoes,2,2996.61,0.1,5393.9,1234.88
ORD00003,21-01-2024,CUST0460,Customer 0460,West,Ahmedabad,Accessories,Backpack,5,2273.69,0.05,10800.03,1214.15
ORD00004,28-02-2023,CUST0700,Customer 0700,East,Kolkata,Electronics,Headphones,3,4799.54,0.05,13678.7,3241.6
ORD00005,19-05-2024,CUST0021,Customer 0021,South,Hyderabad,Accessories,Mouse,2,886.63,0.15,1507.28,352.42
ORD00006,30-08-2023,CUST0898,Customer 0898,South,Chennai,Furniture,Office Chair,4,12663.24,0,50652.96,7553.97
ORD00007,04-02-2023,CUST0872,Customer 0872,West,Pune,Furniture,Desk,2,16149.13,0.05,30683.34,2013.94
ORD00008,06-02-2024,CUST0958,Customer 0958,South,Chennai,Furniture,Desk,4,16919.96,0,67679.86,8024.09
ORD00009,20-12-2024,CUST0792,Customer 0792,North,Delhi,Electronics,Laptop,4,52636.43,0.1,189491.15,20783.36
ORD00010,06-06-2023,CUST0839,Customer 0839,East,Kolkata,Electronics,Laptop,1,53736.12,0,53736.12,3277.58
ORD00011,19-05-2023,CUST0419,Customer 0419,South,Hyderabad,Appliances,Washing Machine,5,32441.43,0.15,137876.09,24430.8
ORD00012,28-01-2023,CUST0930,Customer 0930,East,Kolkata,Accessories,USB Hub,5,1054.35,0.1,4744.56,829.16
ORD00013,30-06-2024,CUST0462,Customer 0462,South,Bangalore,Furniture,Bookshelf,5,9942.07,0.05,47224.82,9387.07
ORD00014,28-01-2024,CUST0892,Customer 0892,East,Kolkata,Furniture,Desk,1,13235.51,0.05,12573.74,1905.46
ORD00015,29-04-2024,CUST0171,Customer 0171,East,Kolkata,Clothing,Jacket,5,4099.13,0,20495.66,2298.7
ORD00016,27-03-2023,CUST0574,Customer 0574,West,Mumbai,Accessories,Backpack,4,2288.05,0.1,8236.97,770.84
ORD00017,27-11-2023,CUST0473,Customer 0473,West,Ahmedabad,Appliances,Air Conditioner,1,35925.24,0,35925.24,6343.83
ORD00018,24-09-2024,CUST0359,Customer 0359,West,Mumbai,Furniture,Bookshelf,3,8094.57,0.05,23069.53,2306.48
ORD00019,22-08-2023,CUST0374,Customer 0374,West,Mumbai,Electronics,Monitor,1,16481.33,0.05,15657.26,1122.32
ORD00020,17-03-2024,CUST0386,Customer 0386,West,Mumbai,Electronics,Monitor,5,19146.26,0,95731.31,6379.5
ORD00021,23-04-2023,CUST0855,Customer 0855,South,Chennai,Clothing,Jeans,1,2333.98,0.1,2100.59,383.41
ORD00022,22-02-2023,CUST0416,Customer 0416,West,Mumbai,Furniture,Desk,3,15417.14,0.05,43938.84,4551.57
ORD00023,21-10-2023,CUST0198,Customer 0198,West,Ahmedabad,Furniture,Desk,1,14544.71,0,14544.71,2203.17
ORD00024,08-04-2024,CUST0955,Customer 0955,North,Delhi,Accessories,USB Hub,2,1099.29,0.05,2088.64,210.47
ORD00025,11-12-2024,CUST0640,Customer 0640,West,Mumbai,Accessories,USB Hub,1,1206.39,0.1,1085.75,208.83
ORD00026,31-05-2023,CUST0263,Customer 0263,East,Kolkata,Accessories,Mouse,2,943.2,0.2,1509.11,230.89
ORD00027,02-01-2023,CUST0453,Customer 0453,South,Bangalore,Electronics,Headphones,3,5600.63,0,16801.88,1851.51
ORD00028,20-10-2024,CUST0152,Customer 0152,West,Ahmedabad,Accessories,USB Hub,1,1165.62,0.1,1049.06,78.83
ORD00029,24-02-2024,CUST0227,Customer 0227,West,Pune,Appliances,Microwave,1,11540.22,0.1,10386.2,632.63
ORD00030,04-12-2023,CUST0957,Customer 0957,South,Chennai,Appliances,Air Conditioner,1,34856.67,0,34856.67,5190.19
ORD00031,18-05-2024,CUST0401,Customer 0401,West,Ahmedabad,Appliances,Washing Machine,4,28272.55,0.05,107435.68,18751.81
ORD00032,22-01-2023,CUST0365,Customer 0365,West,Pune,Clothing,Jeans,3,2490.06,0.05,7096.66,872.99
ORD00033,31-08-2024,CUST0453,Customer 0453,West,Mumbai,Appliances,Refrigerator,3,38600.33,0.05,110010.95,21819.54
ORD00034,26-05-2024,CUST0477,Customer 0477,South,Bangalore,Accessories,Keyboard,3,1680.96,0.1,4538.6,1050.93
ORD00035,15-12-2023,CUST0099,Customer 0099,South,Bangalore,Clothing,Jacket,4,5148.45,0,20593.79,2663.14
ORD00036,10-06-2023,CUST0793,Customer 0793,West,Ahmedabad,Clothing,Jeans,2,2421.02,0.15,4115.73,299.11
ORD00037,17-09-2024,CUST0962,Customer 0962,West,Ahmedabad,Appliances,Washing Machine,2,27787.47,0.15,47238.7,9133.05
ORD00038,28-01-2024,CUST0477,Customer 0477,South,Hyderabad,Appliances,Washing Machine,2,28168.59,0.1,50703.46,10955.65
ORD00039,08-06-2024,CUST0036,Customer 0036,West,Mumbai,Clothing,Shirt,1,1961.08,0,1961.08,257.73
ORD00040,15-10-2024,CUST0092,Customer 0092,West,Mumbai,Accessories,Mouse,3,921.29,0.05,2625.69,414.01
ORD00041,05-05-2023,CUST0305,Customer 0305,West,Pune,Clothing,Jeans,3,2153.01,0,6459.03,994.72
ORD00042,22-02-2023,CUST0103,Customer 0103,West,Mumbai,Electronics,Laptop,5,48158.23,0,240791.17,32276.54
ORD00043,17-10-2024,CUST0670,Customer 0670,North,Delhi,Accessories,Keyboard,3,1552.18,0.05,4423.7,327.89
ORD00044,18-04-2024,CUST0393,Customer 0393,North,Delhi,Electronics,Monitor,1,19017.9,0,19017.9,1676.59
